"load_datetime","Segment","Mode","Order_Type","Initial_Period","Institution","Interest_rate_am","Interest_rate_aa"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","25/01/2023 a 31/01/2023","BCO XP S.A.","5.08","81.27"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","25/01/2023 a 31/01/2023","BCO C6 S.A.","14.79","423.48"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","25/01/2023 a 31/01/2023","BANCO ORIGINAL","18.89","697.2"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","25/01/2023 a 31/01/2023","CAIXA ECONOMICA FEDERAL","2.41","33.06"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","25/01/2023 a 31/01/2023","BCO DO BRASIL S.A.","4.17","63.22"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","25/01/2023 a 31/01/2023","BCO SANTANDER (BRASIL) S.A.","4.36","66.93"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","25/01/2023 a 31/01/2023","ITAÚ UNIBANCO S.A.","4.26","64.91"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","25/01/2023 a 31/01/2023","BCO BRADESCO S.A.","6.25","107.08"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","25/01/2023 a 31/01/2023","NU FINANCEIRA S.A. CFI","5.58","91.8"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","25/01/2023 a 31/01/2023","BCO C6 S.A.","3.99","59.97"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","25/01/2023 a 31/01/2023","BANCO PAN","2.52","34.72"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","24/01/2023 a 30/01/2023","CAIXA ECONOMICA FEDERAL","11.34","262.95"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","24/01/2023 a 30/01/2023","BCO DO BRASIL S.A.","16.61","532.08"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","24/01/2023 a 30/01/2023","BCO SANTANDER (BRASIL) S.A.","13.88","375.96"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","24/01/2023 a 30/01/2023","BCO BRADESCO S.A.","12.97","332.21"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","24/01/2023 a 30/01/2023","BANCO BRADESCARD","18.67","680.14"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","24/01/2023 a 30/01/2023","NU FINANCEIRA S.A. CFI","13.74","368.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","24/01/2023 a 30/01/2023","BANCO INTER","13.99","381.48"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","24/01/2023 a 30/01/2023","BCO XP S.A.","5.08","81.27"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","24/01/2023 a 30/01/2023","BCO C6 S.A.","14.79","423.48"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","24/01/2023 a 30/01/2023","BANCO ORIGINAL","18.96","703.0"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","24/01/2023 a 30/01/2023","CAIXA ECONOMICA FEDERAL","2.46","33.87"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","24/01/2023 a 30/01/2023","BCO DO BRASIL S.A.","4.17","63.18"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","24/01/2023 a 30/01/2023","BCO SANTANDER (BRASIL) S.A.","4.46","68.87"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","24/01/2023 a 30/01/2023","ITAÚ UNIBANCO S.A.","4.26","64.89"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","24/01/2023 a 30/01/2023","BCO BRADESCO S.A.","6.31","108.4"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","24/01/2023 a 30/01/2023","NU FINANCEIRA S.A. CFI","5.73","95.05"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","24/01/2023 a 30/01/2023","BCO C6 S.A.","4.23","64.38"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","24/01/2023 a 30/01/2023","BANCO PAN","2.54","35.05"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","23/01/2023 a 27/01/2023","CAIXA ECONOMICA FEDERAL","11.49","268.74"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","23/01/2023 a 27/01/2023","BCO DO BRASIL S.A.","16.26","509.83"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","23/01/2023 a 27/01/2023","BCO SANTANDER (BRASIL) S.A.","13.84","373.56"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","23/01/2023 a 27/01/2023","BCO BRADESCO S.A.","12.71","320.09"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","23/01/2023 a 27/01/2023","BANCO BRADESCARD","18.77","688.17"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","23/01/2023 a 27/01/2023","NU FINANCEIRA S.A. CFI","13.63","363.41"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","23/01/2023 a 27/01/2023","BANCO INTER","13.9","376.64"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","23/01/2023 a 27/01/2023","BCO XP S.A.","5.08","81.27"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","23/01/2023 a 27/01/2023","BCO C6 S.A.","14.79","423.48"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","23/01/2023 a 27/01/2023","BANCO ORIGINAL","18.89","697.29"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","23/01/2023 a 27/01/2023","CAIXA ECONOMICA FEDERAL","2.39","32.83"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","23/01/2023 a 27/01/2023","BCO DO BRASIL S.A.","4.16","63.08"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","23/01/2023 a 27/01/2023","BCO SANTANDER (BRASIL) S.A.","4.45","68.66"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","23/01/2023 a 27/01/2023","ITAÚ UNIBANCO S.A.","4.26","64.96"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","23/01/2023 a 27/01/2023","BCO BRADESCO S.A.","6.21","105.98"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","23/01/2023 a 27/01/2023","NU FINANCEIRA S.A. CFI","5.78","96.18"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","23/01/2023 a 27/01/2023","BCO C6 S.A.","4.4","67.64"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","23/01/2023 a 27/01/2023","BANCO PAN","2.57","35.56"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","20/01/2023 a 26/01/2023","CAIXA ECONOMICA FEDERAL","11.48","268.54"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","20/01/2023 a 26/01/2023","BCO DO BRASIL S.A.","15.44","459.88"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","20/01/2023 a 26/01/2023","BCO SANTANDER (BRASIL) S.A.","13.96","379.9"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","20/01/2023 a 26/01/2023","BCO BRADESCO S.A.","13.38","351.35"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","20/01/2023 a 26/01/2023","BANCO BRADESCARD","18.89","697.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","20/01/2023 a 26/01/2023","NU FINANCEIRA S.A. CFI","13.6","362.13"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","20/01/2023 a 26/01/2023","BANCO INTER","13.46","355.25"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","20/01/2023 a 26/01/2023","BCO XP S.A.","5.08","81.21"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","20/01/2023 a 26/01/2023","BCO C6 S.A.","14.76","421.85"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","20/01/2023 a 26/01/2023","BANCO ORIGINAL","18.92","699.82"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","20/01/2023 a 26/01/2023","CAIXA ECONOMICA FEDERAL","2.42","33.18"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","20/01/2023 a 26/01/2023","BCO DO BRASIL S.A.","4.15","62.83"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","20/01/2023 a 26/01/2023","BCO SANTANDER (BRASIL) S.A.","4.5","69.61"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","20/01/2023 a 26/01/2023","ITAÚ UNIBANCO S.A.","4.25","64.85"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","20/01/2023 a 26/01/2023","BCO BRADESCO S.A.","6.29","107.98"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","20/01/2023 a 26/01/2023","NU FINANCEIRA S.A. CFI","5.71","94.82"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","20/01/2023 a 26/01/2023","BCO C6 S.A.","4.4","67.72"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","20/01/2023 a 26/01/2023","BANCO PAN","2.6","36.04"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","19/01/2023 a 25/01/2023","CAIXA ECONOMICA FEDERAL","8.11","154.81"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","19/01/2023 a 25/01/2023","BCO DO BRASIL S.A.","15.43","459.57"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","19/01/2023 a 25/01/2023","BCO SANTANDER (BRASIL) S.A.","13.87","375.03"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","19/01/2023 a 25/01/2023","BCO BRADESCO S.A.","13.46","355.0"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","19/01/2023 a 25/01/2023","BANCO BRADESCARD","18.94","701.51"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","19/01/2023 a 25/01/2023","NU FINANCEIRA S.A. CFI","13.54","358.98"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","19/01/2023 a 25/01/2023","BANCO INTER","13.95","379.35"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","19/01/2023 a 25/01/2023","BCO XP S.A.","5.08","81.21"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","19/01/2023 a 25/01/2023","BCO C6 S.A.","14.76","421.85"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","19/01/2023 a 25/01/2023","BANCO ORIGINAL","18.93","701.12"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","19/01/2023 a 25/01/2023","CAIXA ECONOMICA FEDERAL","2.43","33.41"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","19/01/2023 a 25/01/2023","BCO DO BRASIL S.A.","4.14","62.71"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","19/01/2023 a 25/01/2023","BCO SANTANDER (BRASIL) S.A.","4.53","70.16"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","19/01/2023 a 25/01/2023","ITAÚ UNIBANCO S.A.","4.25","64.87"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","19/01/2023 a 25/01/2023","BCO BRADESCO S.A.","6.3","108.25"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","19/01/2023 a 25/01/2023","NU FINANCEIRA S.A. CFI","5.64","93.23"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","19/01/2023 a 25/01/2023","BCO C6 S.A.","4.31","65.99"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","19/01/2023 a 25/01/2023","BANCO PAN","2.62","36.45"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","18/01/2023 a 24/01/2023","CAIXA ECONOMICA FEDERAL","9.08","183.67"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","18/01/2023 a 24/01/2023","BCO DO BRASIL S.A.","15.2","446.1"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","18/01/2023 a 24/01/2023","BCO SANTANDER (BRASIL) S.A.","13.8","371.82"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","18/01/2023 a 24/01/2023","BCO BRADESCO S.A.","14.1","386.96"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","18/01/2023 a 24/01/2023","BANCO BRADESCARD","18.73","684.79"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","18/01/2023 a 24/01/2023","NU FINANCEIRA S.A. CFI","13.53","358.64"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","18/01/2023 a 24/01/2023","BANCO INTER","14.0","381.65"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","18/01/2023 a 24/01/2023","BCO XP S.A.","5.08","81.15"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","18/01/2023 a 24/01/2023","BCO C6 S.A.","14.72","419.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","18/01/2023 a 24/01/2023","BANCO ORIGINAL","18.43","661.18"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","18/01/2023 a 24/01/2023","CAIXA ECONOMICA FEDERAL","2.42","33.19"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","18/01/2023 a 24/01/2023","BCO DO BRASIL S.A.","4.17","63.22"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","18/01/2023 a 24/01/2023","BCO SANTANDER (BRASIL) S.A.","4.54","70.32"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","18/01/2023 a 24/01/2023","ITAÚ UNIBANCO S.A.","4.27","65.19"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","18/01/2023 a 24/01/2023","BCO BRADESCO S.A.","6.29","107.91"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","18/01/2023 a 24/01/2023","NU FINANCEIRA S.A. CFI","5.59","92.03"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","18/01/2023 a 24/01/2023","BCO C6 S.A.","4.13","62.55"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","18/01/2023 a 24/01/2023","BANCO PAN","2.63","36.49"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","17/01/2023 a 23/01/2023","CAIXA ECONOMICA FEDERAL","9.83","208.03"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","17/01/2023 a 23/01/2023","BCO DO BRASIL S.A.","15.19","445.8"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","17/01/2023 a 23/01/2023","BCO SANTANDER (BRASIL) S.A.","13.87","375.11"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","17/01/2023 a 23/01/2023","BCO BRADESCO S.A.","14.19","391.42"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","17/01/2023 a 23/01/2023","BANCO BRADESCARD","18.65","678.43"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","17/01/2023 a 23/01/2023","NU FINANCEIRA S.A. CFI","13.57","360.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","17/01/2023 a 23/01/2023","BANCO INTER","13.4","352.38"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","17/01/2023 a 23/01/2023","BCO XP S.A.","5.08","81.15"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","17/01/2023 a 23/01/2023","BCO C6 S.A.","14.72","419.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","17/01/2023 a 23/01/2023","BANCO ORIGINAL","18.35","655.39"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","17/01/2023 a 23/01/2023","CAIXA ECONOMICA FEDERAL","2.41","33.06"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","17/01/2023 a 23/01/2023","BCO DO BRASIL S.A.","4.18","63.38"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","17/01/2023 a 23/01/2023","BCO SANTANDER (BRASIL) S.A.","4.57","70.9"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","17/01/2023 a 23/01/2023","ITAÚ UNIBANCO S.A.","4.33","66.38"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","17/01/2023 a 23/01/2023","BCO BRADESCO S.A.","6.28","107.61"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","17/01/2023 a 23/01/2023","NU FINANCEIRA S.A. CFI","5.35","86.92"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","17/01/2023 a 23/01/2023","BCO C6 S.A.","3.95","59.1"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","17/01/2023 a 23/01/2023","BANCO PAN","2.58","35.82"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/01/2023 a 20/01/2023","CAIXA ECONOMICA FEDERAL","9.39","193.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/01/2023 a 20/01/2023","BCO DO BRASIL S.A.","15.4","457.58"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/01/2023 a 20/01/2023","BCO SANTANDER (BRASIL) S.A.","13.56","360.17"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/01/2023 a 20/01/2023","BCO BRADESCO S.A.","14.04","383.66"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/01/2023 a 20/01/2023","BANCO BRADESCARD","18.83","692.86"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/01/2023 a 20/01/2023","NU FINANCEIRA S.A. CFI","13.52","358.19"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/01/2023 a 20/01/2023","BANCO INTER","13.51","357.33"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/01/2023 a 20/01/2023","BCO XP S.A.","5.04","80.46"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/01/2023 a 20/01/2023","BCO C6 S.A.","14.75","421.42"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/01/2023 a 20/01/2023","BANCO ORIGINAL","18.74","685.59"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/01/2023 a 20/01/2023","CAIXA ECONOMICA FEDERAL","2.4","32.95"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/01/2023 a 20/01/2023","BCO DO BRASIL S.A.","4.19","63.65"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/01/2023 a 20/01/2023","BCO SANTANDER (BRASIL) S.A.","4.59","71.42"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/01/2023 a 20/01/2023","ITAÚ UNIBANCO S.A.","4.37","67.0"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/01/2023 a 20/01/2023","BCO BRADESCO S.A.","6.53","113.73"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/01/2023 a 20/01/2023","NU FINANCEIRA S.A. CFI","5.15","82.72"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/01/2023 a 20/01/2023","BCO C6 S.A.","3.47","50.57"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/01/2023 a 20/01/2023","BANCO PAN","2.58","35.79"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/01/2023 a 19/01/2023","CAIXA ECONOMICA FEDERAL","9.52","197.79"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/01/2023 a 19/01/2023","BCO DO BRASIL S.A.","15.13","442.55"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/01/2023 a 19/01/2023","BCO SANTANDER (BRASIL) S.A.","13.69","366.35"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/01/2023 a 19/01/2023","BCO BRADESCO S.A.","13.92","377.7"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/01/2023 a 19/01/2023","BANCO BRADESCARD","18.81","691.26"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/01/2023 a 19/01/2023","NU FINANCEIRA S.A. CFI","13.55","359.22"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/01/2023 a 19/01/2023","BANCO INTER","13.97","380.11"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/01/2023 a 19/01/2023","BCO XP S.A.","5.02","79.92"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/01/2023 a 19/01/2023","BCO C6 S.A.","14.78","422.96"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/01/2023 a 19/01/2023","BANCO ORIGINAL","18.6","674.61"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/01/2023 a 19/01/2023","CAIXA ECONOMICA FEDERAL","2.38","32.65"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/01/2023 a 19/01/2023","BCO DO BRASIL S.A.","4.22","64.15"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/01/2023 a 19/01/2023","BCO SANTANDER (BRASIL) S.A.","4.6","71.56"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/01/2023 a 19/01/2023","ITAÚ UNIBANCO S.A.","4.35","66.77"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/01/2023 a 19/01/2023","BCO BRADESCO S.A.","6.47","112.17"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/01/2023 a 19/01/2023","NU FINANCEIRA S.A. CFI","5.23","84.34"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/01/2023 a 19/01/2023","BCO C6 S.A.","3.76","55.72"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/01/2023 a 19/01/2023","BANCO PAN","2.59","35.92"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","12/01/2023 a 18/01/2023","CAIXA ECONOMICA FEDERAL","11.81","281.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","12/01/2023 a 18/01/2023","BCO DO BRASIL S.A.","15.23","448.27"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","12/01/2023 a 18/01/2023","BCO SANTANDER (BRASIL) S.A.","12.87","327.41"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","12/01/2023 a 18/01/2023","BCO BRADESCO S.A.","13.99","381.15"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","12/01/2023 a 18/01/2023","BANCO BRADESCARD","18.78","688.87"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","12/01/2023 a 18/01/2023","NU FINANCEIRA S.A. CFI","13.56","359.81"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","12/01/2023 a 18/01/2023","BANCO INTER","13.23","343.98"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","12/01/2023 a 18/01/2023","BCO XP S.A.","5.02","79.92"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","12/01/2023 a 18/01/2023","BCO C6 S.A.","14.78","422.96"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","12/01/2023 a 18/01/2023","BANCO ORIGINAL","18.57","672.42"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","12/01/2023 a 18/01/2023","CAIXA ECONOMICA FEDERAL","2.37","32.48"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","12/01/2023 a 18/01/2023","BCO DO BRASIL S.A.","4.24","64.63"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","12/01/2023 a 18/01/2023","BCO SANTANDER (BRASIL) S.A.","4.64","72.33"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","12/01/2023 a 18/01/2023","ITAÚ UNIBANCO S.A.","4.37","67.08"
